# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.3s shard=0/24
2 229   (54.6s)
97 501   (140.7s)
227 501   (141.0s)
367 501   (142.0s)
509 501   (142.1s)
661 501   (141.0s)
829 501   (140.7s)
2147483069 501   (143.0s)
2147482661 501   (141.6s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=234.0s shard=1/24
3 488   (133.4s)
101 501   (139.1s)
229 501   (138.8s)
373 501   (140.1s)
521 501   (139.9s)
673 501   (140.3s)
839 501   (139.8s)
2147483059 501   (140.6s)
2147482621 501   (139.4s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.2s shard=10/24
31 501   (144.0s)
149 501   (142.3s)
277 501   (142.7s)
431 501   (141.9s)
587 501   (142.2s)
739 501   (142.1s)
2147483489 501   (143.7s)
2147482877 501   (142.4s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=234.9s shard=11/24
37 501   (143.6s)
151 501   (142.5s)
281 501   (143.0s)
433 501   (143.1s)
593 501   (142.3s)
743 501   (142.2s)
2147483477 501   (144.4s)
2147482873 501   (142.2s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=234.2s shard=12/24
41 501   (141.8s)
157 501   (141.2s)
283 501   (141.7s)
439 501   (140.4s)
599 501   (140.5s)
751 501   (141.6s)
2147483423 501   (141.5s)
2147482867 501   (140.1s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=235.1s shard=13/24
43 501   (141.4s)
163 501   (140.6s)
293 501   (141.6s)
443 501   (141.3s)
601 501   (140.7s)
757 501   (141.0s)
2147483399 501   (142.3s)
2147482859 501   (141.6s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=234.6s shard=14/24
47 501   (141.2s)
167 501   (139.8s)
307 501   (140.6s)
449 501   (140.7s)
607 501   (140.6s)
761 501   (140.0s)
2147483353 501   (141.8s)
2147482819 501   (140.9s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.8s shard=15/24
53 501   (144.3s)
173 501   (142.5s)
311 501   (143.3s)
457 501   (142.4s)
613 501   (142.3s)
769 501   (141.4s)
2147483323 501   (143.9s)
2147482817 501   (142.9s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=235.4s shard=16/24
59 501   (142.2s)
179 501   (141.9s)
313 501   (141.9s)
461 501   (141.3s)
617 501   (141.3s)
773 501   (140.4s)
2147483269 501   (142.0s)
2147482811 501   (141.8s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=236.1s shard=17/24
61 501   (143.8s)
181 501   (143.1s)
317 501   (143.3s)
463 501   (142.5s)
619 501   (141.8s)
787 501   (141.8s)
2147483249 501   (143.7s)
2147482801 501   (142.8s)
# H=9 states=2187 residuals=577 budget_B=1834.2 working_r=501 d_2=272 sweep_pmax=848 nsmall=146 nbig=50 build=235.9s shard=18/24
