column | n-range | min C-finite order (fit=first 2r, holdout=rest) | recurrence coeffs
T_king(n,3) | n=3..40 | order 7 (24 holdout terms exact) | [7, -15, 9, 3, -5, 1, 1]
T_king(n,4) | n=4..40 | order 15 (7 holdout terms exact) | [11, -41, 49, 39, -113, -7, 155, -57, -67, 63, 19, -17, 1, 5, 1]
T_square(n,3) | n=3..140 | order 14 (110 holdout terms exact) | [5, -6, -4, 8, 1, 2, -8, 0, -1, 9, -2, -1, -3, 1]
T_square(n,4) | n=4..140 | order 39 (59 holdout terms exact) | [7, -12, -12, 27, 58, -68, -107, 26, 85, 245, -41, -257, -376, -29, 523, 559, 27, -680, -694, -112, 858, 700, 170, -740, -651, -167, 585, 387, 114, -289, -139, 12, 164, 46, 2, -29, 2, -2, 1]
T_tri(n,3) | n=4..140 | order 23 (91 holdout terms exact) | [4, -3, -3, -3, 14, -1, -16, -10, 45, -29, 1, -16, 58, -41, -42, 63, 5, -40, 0, 31, 2, -14, -4]
T_tri(n,4) | n=6..140 | NONE up to order 45 | -

column | mod | (preperiod, period)
T_king(n,3) | mod 2 | pre<=3, period=4 (EXACT via verified recurrence)
T_king(n,3) | mod 3 | pre<=3, period=104 (EXACT via verified recurrence)
T_king(n,3) | mod 4 | pre<=3, period=8 (EXACT via verified recurrence)
T_king(n,3) | mod 8 | pre<=3, period=16 (EXACT via verified recurrence)
T_king(n,4) | mod 2 | pre<=4, period=4 (EXACT via verified recurrence)
T_king(n,4) | mod 3 | pre<=4, period=85280 (EXACT via verified recurrence)
T_king(n,4) | mod 4 | pre<=4, period=16 (EXACT via verified recurrence)
T_king(n,4) | mod 8 | pre<=4, period=32 (EXACT via verified recurrence)
T_square(n,3) | mod 2 | pre<=3, period=62 (EXACT via verified recurrence)
T_square(n,3) | mod 3 | pre<=3, period=85280 (EXACT via verified recurrence)
T_square(n,3) | mod 4 | pre<=3, period=868 (EXACT via verified recurrence)
T_square(n,3) | mod 8 | pre<=3, period=1736 (EXACT via verified recurrence)
T_square(n,4) | mod 2 | pre<=4, period=4 (EXACT via verified recurrence)
T_square(n,4) | mod 3 | period exists (C-finite) but cycle > 1e7 cap, undetermined
T_square(n,4) | mod 4 | pre<=4, period=94488 (EXACT via verified recurrence)
T_square(n,4) | mod 8 | pre<=4, period=1322832 (EXACT via verified recurrence)
T_tri(n,3) | mod 2 | pre<=4, period=1 (EXACT via verified recurrence)
T_tri(n,3) | mod 3 | period exists (C-finite) but cycle > 1e7 cap, undetermined
T_tri(n,3) | mod 4 | pre<=4, period=682 (EXACT via verified recurrence)
T_tri(n,3) | mod 8 | pre<=6, period=1364 (EXACT via verified recurrence)
T_tri(n,4) | mod 2 | pre=6, period=14 (window n<=140)
T_tri(n,4) | mod 3 | period>64 or pre>20 in window n<=140
T_tri(n,4) | mod 4 | period>64 or pre>20 in window n<=140
T_tri(n,4) | mod 8 | period>64 or pre>20 in window n<=140
