== reachable live-state closure (flagless core), CELL vs PIECE ==
H  cell_states  piece_states  piece/cell  cell_ratio  piece_ratio  secs
2  3            3             1.000      -           -            0.0
3  8            9             1.125      2.667       3.000        0.0
4  20           25            1.250      2.500       2.778        0.0
5  50           72            1.440      2.500       2.880        0.0
6  126          210           1.667      2.520       2.917        0.2
7  322          629           1.953      2.556       2.995        1.4
8  834          1917          2.299      2.590       3.048        9.2
== reachable live-state closure (flagless core), CELL vs PIECE ==
H  cell_states  piece_states  piece/cell  cell_ratio  piece_ratio  secs
2  3            3             1.000      -           -            0.0
3  8            9             1.125      2.667       3.000        0.0
4  20           25            1.250      2.500       2.778        0.0
5  50           72            1.440      2.500       2.880        0.0
6  126          210           1.667      2.520       2.917        0.2
7  322          629           1.953      2.556       2.995        1.4
8  834          1917          2.299      2.590       3.048        9.0
9  2187         5943          2.717      2.622       3.100        60.6
