k   H    n   T(H+k,H) ab initio                       verdict
0   17   17   43046721                       match
0   18   18   129140163                      match
0   19   19   387420489                      match
0   20   20   1162261467                     match
0   21   21   3486784401                     match
0   22   22   10460353203                    match
0   23   23   31381059609                    match
0   24   24   94143178827                    match
0   25   25   282429536481                   match
0   26   26   847288609443                   match
0   27   27   2541865828329                  match
0   28   28   7625597484987                  match
0   29   29   22876792454961                 match
0   30   30   68630377364883                 match
0   31   31   205891132094649                match
0   32   32   617673396283947                match
0   33   33   1853020188851841               match
0   34   34   5559060566555523               match
0   35   35   16677181699666569              match
0   36   36   50031545098999707              match
0   37   37   150094635296999121             match
0   38   38   450283905890997363             match
0   39   39   1350851717672992089            match
0   40   40   4052555153018976267            match
1   17   18   1937102445                     match
1   18   19   6170030010                     match
1   19   20   19586258055                    match
1   20   21   61987278240                    match
1   21   22   195647346945                   match
1   22   23   615998577510                   match
1   23   24   1935165342555                  match
1   24   25   6067004857740                  match
1   25   26   18985541063445                 match
1   26   27   59310202661010                 match
1   27   28   184991346395055                match
1   28   29   576156254421240                match
1   29   30   1792015408971945               match
1   30   31   5566686164040510               match
1   31   32   17271978303495555              match
1   32   33   53531694344608740              match
1   33   34   165742361336192445             match
1   34   35   512668918915676010             match
1   35   36   1584332261468324055            match
1   36   37   4891973298568860240            match
1   37   38   15092849438198244945           match
1   38   39   46529336942069727510           match
1   39   40   143340376708634160555          match
2   17   19   47839787379                    match
2   18   20   160989953571                   match
2   19   21   538370990640                   match
2   20   22   1790284428576                  match
2   21   23   5923271856321                  match
2   22   24   19507783882617                 match
2   23   25   63979394394438                 match
2   24   26   209032724839950                match
2   25   27   680561039740383                match
2   26   28   2208609435634623               match
2   27   29   7146220418399916               match
2   28   30   23058677076454764              match
2   29   31   74212597153429965              match
2   30   32   238277044613388789             match
2   31   33   763337559442168674             match
2   32   34   2440297953560629818            match
2   33   35   7786047681668611467            match
2   34   36   24796498493819052315           match
2   35   37   78833243785455966312           match
2   36   38   250217022141041793912          match
2   37   39   792961076395179467289          match
2   38   40   2509287671955797860401         match
3   17   20   860061675780                   match
3   18   21   3044407243896                  match
3   19   22   10682543902131                 match
3   20   23   37190476076922                 match
3   21   24   128559328810578                match
3   22   25   441543992247720                match
3   23   26   1507609511436393               match
3   24   27   5119917505171578               match
3   25   28   17301541973590656              match
3   26   29   58199722266887784              match
3   27   30   194948120760940575             match
3   28   31   650445661948239594             match
3   29   32   2162294527251121614            match
3   30   33   7163688120372192888            match
3   31   34   23657686681679437077           match
3   32   35   77894792005368556170           match
3   33   36   255754883546589053052          match
3   34   37   837511258140398183832          match
3   35   38   2735736301532739004299         match
3   36   39   8915276949408130804506         match
3   37   40   28988633422018953978570        match

checked 142 cells, 0 mismatches
