# runs/a41_h20 on dalby, 2026-09-05: orchestrate maxn=41 kernel=kink counter=u128 fold cores=76 max_diag_k=-1 rev=b88b38bc5
# started 11:41 EDT, finished 21:19:14 EDT rc=0; run.log summary line follows, then the per-column profile
# wall=34678.8s cpu_s=1766882.070 wall_s=1987133.775 rss_max_mb=814.7
# cost_profile maxn=41 cores=76
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
20	0	1	524799	1.023	19.921	46.7
20	1	524799	27308254	37.583	1812.590	112.8
20	2	27308254	79076635	440.714	24736.140	617.0
20	3	79076635	114616902	1130.012	61579.860	702.2
20	4	114616902	127454503	1768.163	95621.112	784.8
20	5	127454503	129487645	2223.747	126021.811	802.0
20	6	129487645	129487745	2283.289	127358.271	802.0
20	7	129487745	129487471	2286.133	126214.101	814.7
20	8	129487471	129484757	2313.551	124038.379	814.7
20	9	129484757	129424879	2272.190	119913.253	814.7
20	10	129424879	129014573	2221.085	115724.010	814.7
20	11	129014573	128145335	2126.005	110388.925	814.7
20	12	128145335	126953930	2008.730	104401.233	814.7
20	13	126953930	125386828	1915.660	97137.545	814.7
20	14	125386828	123377204	1658.433	79398.830	814.7
20	15	123377204	120932040	1402.776	63530.471	814.7
20	16	120932040	117934149	1287.001	58543.608	814.7
20	17	117934149	114206835	1197.902	54749.813	814.7
20	18	114206835	109401179	1086.083	50071.693	814.7
20	19	109401179	102791874	997.548	46142.890	814.7
20	20	102791874	93508590	863.620	41146.183	814.7
20	21	93508590	81002841	767.160	36295.324	814.7
20	22	81002841	63974702	692.509	30092.848	814.7
20	23	63974702	39312550	579.520	24813.537	814.7
20	24	39312550	20020485	410.458	17589.765	814.7
20	25	20020485	9215175	257.606	11718.538	814.7
20	26	9215175	4055585	167.827	7493.115	814.7
20	27	4055585	1753214	101.213	4332.094	814.7
20	28	1753214	760976	64.252	2525.377	814.7
20	29	760976	332580	40.266	1484.741	814.7
20	30	332580	145597	24.822	838.705	814.7
20	31	145597	62534	13.360	474.770	814.7
20	32	62534	25931	8.944	293.190	814.7
20	33	25931	10374	6.501	200.279	814.7
20	34	10374	4047	5.007	124.980	814.7
20	35	4047	1556	3.033	41.551	814.7
20	36	1556	597	0.869	10.293	814.7
20	37	597	223	0.273	1.798	814.7
20	38	223	85	0.177	0.377	814.7
20	39	85	30	0.097	0.074	795.4
20	40	30	10	0.051	0.039	802.0
20	41	10	0	0.044	0.036	798.1
