# cost_profile maxn=35 cores=80
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
3	0	1	5	0.056	0.002	48.5
4	0	1	9	0.100	0.007	50.5
5	0	1	19	0.101	0.004	50.5
6	0	1	35	0.112	0.006	56.6
3	1	5	10	0.053	0.004	56.6
8	0	1	135	0.115	0.010	56.6
9	0	1	271	0.117	0.013	50.5
7	0	1	71	0.117	0.007	54.6
10	0	1	527	0.128	0.014	54.6
4	1	9	22	0.027	0.003	60.6
3	2	10	10	0.021	0.002	48.5
5	1	19	56	0.034	0.007	64.6
11	0	1	1055	0.141	0.024	50.5
3	3	10	10	0.015	0.002	50.5
4	2	22	22	0.023	0.006	56.6
12	0	1	2079	0.155	0.031	58.6
6	1	35	126	0.042	0.010	64.6
7	1	71	307	0.042	0.017	72.8
3	4	10	10	0.016	0.003	64.6
5	2	56	57	0.031	0.012	72.8
13	0	1	4159	0.176	0.062	64.6
4	3	22	22	0.025	0.007	58.6
3	5	10	10	0.025	0.002	50.5
8	1	135	715	0.091	0.041	64.6
14	0	1	8255	0.217	0.129	64.6
5	3	57	57	0.049	0.013	64.6
3	6	10	10	0.029	0.004	54.6
4	4	22	22	0.064	0.012	64.6
9	1	271	1729	0.149	0.100	79.0
6	2	126	131	0.112	0.022	56.6
15	0	1	16511	0.272	0.327	74.8
3	7	10	10	0.048	0.009	62.6
7	2	307	334	0.116	0.050	64.6
5	4	57	57	0.121	0.019	58.6
4	5	22	22	0.105	0.010	60.6
3	8	10	10	0.081	0.009	50.5
6	3	131	131	0.112	0.035	60.6
4	6	22	22	0.039	0.012	74.8
16	0	1	32895	0.389	0.796	79.0
3	9	10	10	0.045	0.011	64.6
5	5	57	57	0.063	0.017	56.6
4	7	22	22	0.039	0.009	50.5
10	1	527	4107	0.321	0.298	64.6
7	3	334	335	0.175	0.076	64.6
8	2	715	819	0.291	0.153	74.8
3	10	10	10	0.131	0.009	50.5
6	4	131	131	0.156	0.042	74.8
4	8	22	22	0.117	0.012	54.6
5	6	57	57	0.131	0.021	54.6
4	9	22	22	0.076	0.015	48.5
3	11	10	10	0.179	0.008	62.6
4	10	22	22	0.099	0.012	50.5
5	7	57	57	0.177	0.025	56.6
17	0	1	65791	0.722	1.782	79.0
11	1	1055	9918	0.588	0.783	79.0
7	4	335	335	0.352	0.104	79.0
9	2	1729	2113	0.600	0.496	74.8
6	5	131	131	0.316	0.047	74.8
3	12	10	10	0.158	0.008	56.6
4	11	22	22	0.213	0.017	50.5
5	8	57	57	0.199	0.022	50.5
3	13	10	10	0.077	0.007	58.6
4	12	22	22	0.051	0.010	58.6
8	3	819	825	0.485	0.231	79.0
3	14	10	10	0.076	0.007	54.6
5	9	57	57	0.101	0.024	62.6
6	6	131	131	0.228	0.047	54.6
4	13	22	22	0.107	0.011	54.6
3	15	10	10	0.121	0.007	64.6
18	0	1	131327	1.155	4.040	79.0
7	5	335	335	0.464	0.124	64.6
12	1	2079	23778	1.155	2.179	79.0
4	14	22	22	0.302	0.016	74.8
5	10	57	57	0.361	0.027	58.6
3	16	10	10	0.263	0.009	50.5
6	7	131	131	0.377	0.050	74.8
3	17	10	10	0.059	0.007	56.6
4	15	22	22	0.108	0.012	58.6
3	18	10	10	0.079	0.008	54.6
10	2	4107	5379	1.145	1.443	79.0
5	11	57	57	0.188	0.022	74.8
3	19	10	10	0.078	0.008	56.6
4	16	22	22	0.158	0.013	56.6
7	6	335	335	0.413	0.118	72.8
8	4	825	825	0.713	0.281	74.8
6	8	131	131	0.223	0.045	58.6
3	20	10	10	0.074	0.007	50.5
5	12	57	57	0.117	0.019	64.6
9	3	2113	2152	0.849	0.663	74.8
4	17	22	22	0.067	0.010	50.5
19	0	1	262655	1.867	8.380	79.0
3	21	10	10	0.240	0.010	60.6
4	18	22	22	0.198	0.010	74.8
6	9	131	131	0.293	0.042	79.0
5	13	57	57	0.286	0.016	54.6
3	22	10	10	0.051	0.008	79.0
7	7	335	335	0.333	0.089	74.8
4	19	22	22	0.086	0.010	74.8
13	1	4159	57408	1.891	5.962	79.0
3	23	10	10	0.110	0.006	74.8
5	14	57	57	0.141	0.018	74.8
6	10	131	131	0.155	0.034	56.6
4	20	22	22	0.145	0.011	50.5
3	24	10	10	0.221	0.007	74.8
8	5	825	825	0.643	0.287	74.8
4	21	22	22	0.195	0.012	56.6
6	11	131	131	0.251	0.031	48.5
3	25	10	10	0.070	0.007	50.5
5	15	57	57	0.252	0.018	60.6
7	8	335	335	0.422	0.093	64.6
3	26	10	10	0.035	0.004	50.5
4	22	22	22	0.077	0.011	54.6
3	27	10	10	0.075	0.005	54.6
5	16	57	57	0.133	0.019	79.0
6	12	131	131	0.135	0.037	56.6
4	23	22	22	0.150	0.011	74.8
3	28	10	10	0.166	0.007	74.8
9	4	2152	2153	0.997	0.734	72.8
11	2	9918	13993	2.101	3.736	79.0
5	17	57	57	0.357	0.013	74.8
7	9	335	335	0.472	0.100	56.6
6	13	131	131	0.369	0.030	64.6
4	24	22	22	0.297	0.009	74.8
3	29	10	10	0.228	0.004	72.8
10	3	5379	5560	1.317	1.884	79.0
3	30	10	10	0.060	0.003	54.6
8	6	825	825	0.642	0.288	74.8
4	25	22	22	0.071	0.007	62.6
5	18	57	57	0.090	0.012	64.6
6	14	131	131	0.203	0.038	58.6
3	31	10	10	0.186	0.008	50.5
4	26	22	22	0.283	0.009	48.5
5	19	57	57	0.290	0.014	64.6
3	32	10	10	0.150	0.003	56.6
7	10	335	335	0.418	0.092	58.6
4	27	22	22	0.061	0.005	54.6
6	15	131	131	0.234	0.027	54.6
3	33	10	5	0.038	0.002	50.5
4	28	22	22	0.067	0.005	64.6
5	20	57	57	0.141	0.016	54.6
3	34	5	2	0.211	0.004	79.0
6	16	131	131	0.271	0.028	64.6
9	5	2153	2153	0.986	0.756	74.8
4	29	22	22	0.328	0.009	54.6
8	7	825	825	0.770	0.255	74.8
7	11	335	335	0.436	0.083	56.6
3	35	2	0	0.230	0.005	46.5
5	21	57	57	0.402	0.016	62.6
4	30	22	22	0.117	0.009	50.5
6	17	131	131	0.238	0.028	50.5
5	22	57	57	0.079	0.013	79.0
4	31	22	22	0.047	0.005	50.5
6	18	131	131	0.086	0.022	54.6
7	12	335	335	0.306	0.079	58.6
5	23	57	57	0.171	0.012	50.5
