# cost_profile maxn=35 cores=80
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
3	0	1	5	0.077	0.003	48.8
4	0	1	9	0.132	0.000	50.8
5	0	1	19	0.139	0.006	50.8
7	0	1	71	0.150	0.007	52.8
6	0	1	35	0.154	0.007	50.8
3	1	5	10	0.078	0.005	56.8
8	0	1	135	0.158	0.009	50.8
4	1	9	22	0.030	0.007	54.8
9	0	1	271	0.162	0.008	50.8
5	1	19	56	0.033	0.007	56.8
10	0	1	527	0.178	0.016	52.8
3	2	10	10	0.020	0.003	52.8
11	0	1	1055	0.182	0.018	54.8
4	2	22	22	0.023	0.002	52.8
12	0	1	2079	0.183	0.031	73.0
6	1	35	126	0.032	0.010	73.0
3	3	10	10	0.018	0.001	56.8
13	0	1	4159	0.196	0.056	56.8
7	1	71	307	0.049	0.019	46.7
5	2	56	57	0.032	0.010	73.0
4	3	22	22	0.025	0.005	73.0
8	1	135	715	0.061	0.033	50.8
6	2	126	131	0.044	0.015	73.0
3	4	10	10	0.035	0.003	48.8
14	0	1	8255	0.253	0.118	52.8
4	4	22	22	0.046	0.005	73.0
5	3	57	57	0.052	0.010	73.0
3	5	10	10	0.042	0.005	56.8
9	1	271	1729	0.154	0.077	56.8
5	4	57	57	0.062	0.009	56.8
6	3	131	131	0.095	0.018	56.8
4	5	22	22	0.077	0.009	56.8
7	2	307	334	0.146	0.037	56.8
15	0	1	16511	0.346	0.218	73.0
3	6	10	10	0.075	0.004	52.8
3	7	10	10	0.026	0.006	56.8
10	1	527	4107	0.210	0.189	73.0
4	6	22	22	0.062	0.007	73.0
16	0	1	32895	0.400	0.514	73.0
6	4	131	131	0.074	0.026	52.8
5	5	57	57	0.084	0.014	73.0
3	8	10	10	0.029	0.006	50.8
8	2	715	819	0.282	0.110	73.0
4	7	22	22	0.111	0.008	56.8
3	9	10	10	0.106	0.003	73.0
5	6	57	57	0.126	0.015	50.8
7	3	334	335	0.205	0.054	50.8
3	10	10	10	0.042	0.003	50.8
4	8	22	22	0.055	0.007	50.8
17	0	1	65791	0.637	1.230	73.0
6	5	131	131	0.234	0.027	54.8
5	7	57	57	0.172	0.011	56.8
4	9	22	22	0.142	0.005	54.8
3	11	10	10	0.155	0.003	73.0
11	1	1055	9918	0.544	0.533	73.0
4	10	22	22	0.074	0.009	56.8
6	6	131	131	0.143	0.025	52.8
9	2	1729	2113	0.476	0.283	73.0
3	12	10	10	0.095	0.006	50.8
5	8	57	57	0.108	0.017	56.8
7	4	335	335	0.274	0.056	73.0
3	13	10	10	0.039	0.002	50.8
18	0	1	131327	0.890	2.431	73.0
5	9	57	57	0.094	0.013	52.8
6	7	131	131	0.133	0.031	54.8
4	11	22	22	0.168	0.009	56.8
3	14	10	10	0.118	0.004	52.8
8	3	819	825	0.474	0.128	56.8
3	15	10	10	0.061	0.003	73.0
4	12	22	22	0.084	0.007	50.8
5	10	57	57	0.120	0.015	56.8
12	1	2079	23778	0.851	1.291	73.0
4	13	22	22	0.078	0.002	50.8
7	5	335	335	0.287	0.058	56.8
6	8	131	131	0.202	0.025	73.0
5	11	57	57	0.163	0.013	56.8
3	16	10	10	0.180	0.012	56.8
