# cost_profile maxn=35 cores=80
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
19	0	1	262655	0.691	8.172	49.1
19	1	262655	11313826	26.378	912.526	55.8
19	2	11313826	30211995	956.964	13902.369	203.0
19	3	30211995	42033798	1981.703	25363.770	313.4
19	4	42033798	45152157	2034.047	28410.944	357.8
19	5	45152157	45308234	2136.590	28278.138	372.5
19	6	45308234	45308234	1965.222	27626.886	372.5
19	7	45308234	45300247	1914.973	26430.031	372.5
19	8	45300247	45201630	1850.721	25440.534	372.5
19	9	45201630	44797045	1718.171	24299.768	372.5
19	10	44797045	44059042	1637.055	23024.146	372.5
19	11	44059042	43074148	1510.045	21694.003	372.5
19	12	43074148	41840329	1361.367	20352.755	372.5
19	13	41840329	40210648	1237.463	18795.827	372.5
19	14	40210648	37884927	1083.094	17269.640	372.5
19	15	37884927	34648305	977.008	15696.828	372.5
19	16	34648305	30350237	825.350	14105.551	372.5
19	17	30350237	24289583	708.685	12057.872	372.5
19	18	24289583	14990894	530.969	10741.437	372.5
19	19	14990894	7515136	380.889	7738.944	372.5
19	20	7515136	3325905	111.232	4149.548	372.5
19	21	3325905	1393030	61.990	2359.847	372.5
19	22	1393030	572650	36.325	1359.009	372.5
19	23	572650	235993	21.691	741.164	372.5
19	24	235993	98546	12.278	394.607	372.5
19	25	98546	42122	8.099	236.414	372.5
19	26	42122	18347	5.880	174.095	372.5
19	27	18347	8148	4.156	128.791	372.5
19	28	8148	3526	3.097	86.039	372.5
19	29	3526	1438	2.025	46.368	372.5
19	30	1438	564	1.034	20.611	372.5
19	31	564	212	0.277	1.719	372.5
19	32	212	82	0.152	0.299	359.1
19	33	82	29	0.075	0.052	347.8
19	34	29	10	0.036	0.015	359.1
19	35	10	0	0.030	0.001	359.0
