computing symmetric counts to n=19 (C++)...
  n                   free              one-sided  note
  1                      1                      1  ok vs A030222
  2                      2                      2  ok vs A030222
  3                      5                      6  ok vs A030222
  4                     22                     34  ok vs A030222
  5                     94                    166  ok vs A030222
  6                    524                    991  ok vs A030222
  7                   3031                   5931  ok vs A030222
  8                  18770                  37196  ok vs A030222
  9                 118133                 235456  ok vs A030222
 10                 758381                1514618  ok vs A030222
 11                4915652                9826177  ok vs A030222
 12               32149296               64284947  ok vs A030222
 13              211637205              423241426  ok vs A030222
 14             1401194463             2802300793  ok vs A030222
 15             9321454604            18642694440  ok vs A030222
 16            62272330564           124544085550  ok vs A030222
 17           417546684096           835091956750  ok vs A030222
 18          2808898025438          5617792259411  NEW TERM
 19         18951156321090         37902303297525  NEW TERM
 20        128196711128365        256393397108358  CANDIDATE (rests on Fixed(20) candidate)
