Part A (exact over Z): A2==Delta^4*K: True; A1==Delta^2*M (exact div): True; 4*K*A0==M^2-Delta*S^2: True; disc==Delta^5*S^2: True; M diagonal check: True
  c=2: validity 245, 5s  OK
  c=3: validity 245, 10s  OK
  c=4: validity 245, 11s  OK
  c=5: validity 245, 12s  OK
  c=6: validity 245, 13s  OK
  c=7: validity 245, 14s  OK
  c=8: validity 245, 14s  OK
  c=9: validity 245, 14s  OK
  c=10: validity 245, 15s  OK
  c=11: validity 245, 15s  OK
  c=12: validity 245, 16s  OK
  c=13: validity 245, 16s  OK
  c=14: validity 245, 16s  OK
  c=15: validity 245, 17s  OK
  c=17: validity 245, 17s  OK
  c=16: validity 245, 17s  OK
  c=18: validity 245, 17s  OK
  c=19: validity 245, 18s  OK
  c=20: validity 245, 18s  OK
  c=21: validity 245, 18s  OK
  c=22: validity 245, 18s  OK
  c=24: validity 245, 19s  OK
  c=25: validity 245, 19s  OK
  c=23: validity 245, 19s  OK
  c=26: validity 245, 19s  OK
  c=27: validity 245, 19s  OK
  c=28: validity 245, 19s  OK
  c=29: validity 245, 19s  OK
  c=30: validity 245, 20s  OK
  c=31: validity 245, 20s  OK
  c=33: validity 245, 20s  OK
  c=32: validity 245, 20s  OK
  c=35: validity 245, 20s  OK
  c=34: validity 245, 20s  OK
  c=37: validity 245, 21s  OK
  c=36: validity 245, 21s  OK
  c=38: validity 245, 21s  OK
  c=39: validity 245, 21s  OK
  c=41: validity 245, 21s  OK
  c=40: validity 245, 21s  OK
  c=42: validity 245, 21s  OK
  c=43: validity 245, 21s  OK
  c=45: validity 245, 21s  OK
  c=44: validity 245, 21s  OK
  c=47: validity 245, 22s  OK
  c=46: validity 245, 22s  OK
  c=48: validity 245, 22s  OK
  c=49: validity 245, 22s  OK
  c=50: validity 245, 22s  OK
  c=51: validity 245, 22s  OK
  c=53: validity 245, 22s  OK
  c=52: validity 245, 22s  OK
  c=54: validity 245, 22s  OK
  c=55: validity 245, 22s  OK
  c=57: validity 245, 23s  OK
  c=56: validity 245, 23s  OK
  c=59: validity 245, 23s  OK
  c=58: validity 245, 23s  OK
  c=60: validity 245, 23s  OK
  c=61: validity 245, 23s  OK
  c=62: validity 245, 23s  OK
  c=63: validity 245, 23s  OK
  c=64: validity 245, 23s  OK
  c=65: validity 245, 23s  OK
  c=66: validity 245, 23s  OK
  c=67: validity 245, 24s  OK
  c=68: validity 245, 24s  OK
  c=69: validity 245, 23s  OK
  c=70: validity 245, 24s  OK
  c=71: validity 245, 24s  OK
  c=72: validity 245, 24s  OK
  c=73: validity 245, 24s  OK
  c=74: validity 245, 24s  OK
  c=75: validity 245, 24s  OK
  c=77: validity 245, 24s  OK
  c=76: validity 245, 24s  OK
  c=78: validity 245, 24s  OK
  c=79: validity 245, 24s  OK
  c=80: validity 245, 24s  OK
  c=81: validity 245, 24s  OK
  c=82: validity 245, 25s  OK
  c=83: validity 245, 24s  OK
  c=84: validity 245, 25s  OK
  c=85: validity 245, 25s  OK
EXACT-Q Part B: 84 specializations c=2..85, identity 2K*Delta^2*F+M+S*sqrt(Delta)=0 checked to u-deg 242 over Q; min validity 245; failures 0; wall 44s
CAVEAT REMOVED: identity holds over Q on the full sufficient box (84 values x deg_x<=79, u-deg 242 >= 2*119+4).
