solver N=60 runs: 6.3s
(out_s04_tm50.txt parse found 0 terms; skipping)

king_full (n=1..60):
  1 1
  2 4
  3 16
  4 61
  5 221
  6 766
  7 2566
  8 8390
  9 26982
  10 85834
  11 271174
  12 853111
  13 2677214
  14 8389720
  15 26271014
  16 82230035
  17 257333334
  18 805229818
  19 2519563026
  20 7883577553
  21 24667161861
  22 77181772540
  23 241496421322
  24 755626445009
  25 2364307821370
  26 7397776287396
  27 23147205741474
  28 72426263089887
  29 226617613513394
  30 709073559601858
  31 2218650773489874
  32 6942032116684714
  33 21721224180576893
  34 67964477390729652
  35 212656992753116942
  36 665391664000355728
  37 2081972765160760594
  38 6514374665402206136
  39 20383108756302123784
  40 63777590944002937084
  41 199556463919667482110
  42 624400854674393563258
  43 1953714851787232977502
  44 6113062936378128556514
  45 19127427132073496157606
  46 59848634391938567807278
  47 187262981782882514948742
  48 585935246518733712499211
  49 1833358146092044672138170
  50 5736473632219682585431462
  51 17949100563520447550724564
  52 56161717405947068638356825
  53 175726827693861318937934182
  54 549839274823859272414966454
  55 1720415898393814603865290446
  56 5383083746417325720619790127
  57 16843363658750190678824568254
  58 52701929359676166472386964868
  59 164901347171791278324009157610
  60 515966960402732546167749372540

king_directed (n=1..60):
  1 1
  2 3
  3 10
  4 33
  5 107
  6 342
  7 1084
  8 3417
  9 10737
  10 33675
  11 105505
  12 330353
  13 1034050
  14 3236139
  15 10126775
  16 31687867
  17 99152397
  18 310246824
  19 970752070
  20 3037439857
  21 9503995515
  22 29737491963
  23 93046971075
  24 291138765361
  25 910956791670
  26 2850332294918
  27 8918528317756
  28 27905569567868
  29 87314944721830
  30 273203509608773
  31 854838284151053
  32 2674740498188425
  33 8369111283574903
  34 26186474429696058
  35 81935992932889248
  36 256373073648421555
  37 802176803351201548
  38 2509965710008444822
  39 7853540315629401662
  40 24573282114214219544
  41 76888405686568012646
  42 240579459493474896744
  43 752759480617829361211
  44 2355341710605617374895
  45 7369730593316396982344
  46 23059468939687933295252
  47 72151770142406154821580
  48 225758795586253427309462
  49 706386464032161256805050
  50 2210243172462433770894502
  51 6915725498944980760479832
  52 21638912755230182052043551
  53 67706930429771320402944664
  54 211851144282370335732425294
  55 662870212087109617749814300
  56 2074083288815046852649718401
  57 6489688947399142868890950906
  58 20305868554611467676884342442
  59 63535910749991591027093705684
  60 198800260327408454488139176881

poly_full (n=1..60):
  1 1
  2 2
  3 6
  4 19
  5 59
  6 176
  7 502
  8 1374
  9 3630
  10 9312
  11 23320
  12 57279
  13 138536
  14 331032
  15 783630
  16 1841867
  17 4306172
  18 10028276
  19 23288394
  20 53974959
  21 124925967
  22 288878550
  23 667602492
  24 1542254655
  25 3562000916
  26 8225719574
  27 18994263354
  28 43858728367
  29 101270779744
  30 233836327750
  31 539935689810
  32 1246738231506
  33 2878802188103
  34 6647393281542
  35 15349472649316
  36 35443580355058
  37 81843331625506
  38 188986254056214
  39 436393251610988
  40 1007688926337136
  41 2326887646231174
  42 5373096911919430
  43 12407210967610968
  44 28649946946398404
  45 66156662719722554
  46 152764848076363068
  47 352755121533298888
  48 814560334881088671
  49 1880932506906869920
  50 4343333540533647512
  51 10029358643747282354
  52 23159178418841695205
  53 53477751636446203390
  54 123487538628907778952
  55 285149838913212420090
  56 658450494444318752013
  57 1520453443358907195116
  58 3510937717772932491996
  59 8107241771575730104560
  60 18720744843510012627560

poly_directed (n=1..60):
  1 1
  2 2
  3 5
  4 13
  5 33
  6 82
  7 200
  8 481
  9 1144
  10 2699
  11 6329
  12 14775
  13 34381
  14 79819
  15 185001
  16 428290
  17 990716
  18 2290424
  19 5293153
  20 12229209
  21 28249088
  22 65246630
  23 150687282
  24 347993954
  25 803620981
  26 1855754764
  27 4285319033
  28 9895581541
  29 22850547145
  30 52765494456
  31 121843455307
  32 281354338098
  33 649687511775
  34 1500220502817
  35 3464220003709
  36 7999368436269
  37 18471656740525
  38 42653624796648
  39 98493144839817
  40 227434341941496
  41 525177445678126
  42 1212707550872749
  43 2800309870442495
  44 6466303685911655
  45 14931591529528905
  46 34479114453020145
  47 79617054126972660
  48 183846812778192755
  49 424527771236946462
  50 980293461360110045
  51 2263633465658296590
  52 5227043398507020900
  53 12069967643116142844
  54 27871228108751331423
  55 64358528474912004319
  56 148612761919307885632
  57 343167464020786523614
  58 792421235162358127104
  59 1829810456312043786783
  60 4225285943184568709304
