H	col	frontier_in	frontier_out	wall_s	cpu_s	eff_cores	util_pct	rss_max_mb	map_wall_s	merge_wall_s	merge_frac	map_units	merge_ranges
1	0	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	1	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	2	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	3	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	4	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	5	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	6	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	7	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	8	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	9	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	10	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	11	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	12	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	13	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	14	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	15	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	16	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	17	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	18	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	19	1	1	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
1	20	1	0	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
2	0	1	2	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
2	1	2	3	0.00	0.0	0.00	0.0	5.7	0.00	0.00	-	-	-
2	2	3	3	0.01	0.0	0.00	0.0	5.7	0.00	0.00	0.000	-	-
2	3	3	3	0.00	0.0	0.00	0.0	5.9	0.00	0.00	-	-	-
2	4	3	3	0.00	0.0	0.00	0.0	5.9	0.00	0.00	-	-	-
2	5	3	3	0.00	0.0	0.00	0.0	5.9	0.00	0.00	-	-	-
2	6	3	3	0.00	0.0	0.00	0.0	6.2	0.00	0.00	-	-	-
2	7	3	3	0.01	0.0	0.00	0.0	7.0	0.00	0.00	0.000	-	-
2	8	3	3	0.00	0.0	0.00	0.0	7.1	0.00	0.00	-	-	-
2	9	3	3	0.00	0.0	0.00	0.0	7.1	0.00	0.00	-	-	-
2	10	3	3	0.00	0.0	0.00	0.0	7.0	0.00	0.00	-	-	-
2	11	3	3	0.00	0.0	0.00	0.0	7.1	0.00	0.00	-	-	-
2	12	3	3	0.00	0.0	0.00	0.0	7.3	0.00	0.00	-	-	-
2	13	3	3	0.01	0.0	0.00	0.0	7.5	0.00	0.00	0.000	-	-
2	14	3	3	0.01	0.0	0.00	0.0	7.5	0.00	0.00	0.000	-	-
2	15	3	3	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
2	16	3	3	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
2	17	3	3	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
2	18	3	3	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
2	19	3	1	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
2	20	1	0	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
3	0	1	5	0.00	0.0	0.00	0.0	7.5	0.00	0.00	-	-	-
3	1	5	10	0.01	0.0	0.00	0.0	8.2	0.00	0.00	0.000	-	-
3	2	10	10	0.01	0.0	0.00	0.0	8.2	0.00	0.00	0.000	-	-
3	3	10	10	0.01	0.0	0.00	0.0	8.4	0.00	0.00	0.000	-	-
3	4	10	10	0.01	0.0	0.00	0.0	8.9	0.00	0.00	0.000	-	-
3	5	10	10	0.01	0.0	0.00	0.0	9.3	0.00	0.00	0.000	-	-
3	6	10	10	0.01	0.0	0.00	0.0	9.5	0.00	0.00	0.000	-	-
3	7	10	10	0.01	0.0	0.00	0.0	9.5	0.01	0.01	1.000	-	-
3	8	10	10	0.01	0.0	0.00	0.0	9.5	0.01	0.00	0.000	-	-
3	9	10	10	0.01	0.0	0.00	0.0	9.5	0.00	0.00	0.000	-	-
3	10	10	10	0.01	0.0	0.00	0.0	9.5	0.00	0.00	0.000	-	-
3	11	10	10	0.01	0.0	0.00	0.0	9.5	0.00	0.00	0.000	-	-
3	12	10	10	0.01	0.0	0.00	0.0	9.5	0.00	0.00	0.000	-	-
3	13	10	10	0.01	0.0	0.00	0.0	9.5	0.00	0.01	1.000	-	-
