# cost_profile maxn=26 cores=80
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
9	0	1	271	0.006	0.001	24.6
8	0	1	135	0.006	0.001	22.5
10	0	1	527	0.008	0.001	24.6
11	0	1	1055	0.009	0.002	24.6
12	0	1	2079	0.016	0.007	24.6
7	0	1	71	0.009	0.000	24.6
6	0	1	35	0.008	0.000	30.7
13	0	1	4159	0.022	0.013	26.7
5	0	1	19	0.018	0.000	30.7
14	0	1	8255	0.030	0.023	30.7
8	1	135	715	0.115	0.023	36.8
4	0	1	9	0.139	0.001	36.8
3	0	1	5	0.142	0.001	36.8
15	0	1	16511	0.175	0.043	36.8
7	1	71	307	0.500	0.008	36.8
9	1	271	1729	0.526	0.106	36.8
10	1	527	4107	2.080	0.442	36.8
6	1	35	126	2.127	0.082	36.8
5	1	19	56	2.120	0.036	36.8
11	1	1055	9918	5.486	3.481	36.8
12	1	2079	23778	5.757	15.676	36.8
4	1	9	22	5.622	0.017	36.8
3	1	5	10	5.622	0.011	36.8
8	2	715	819	5.889	0.354	36.8
13	1	4159	57408	6.203	61.532	48.8
7	2	307	334	7.010	0.058	36.8
9	2	1729	2113	7.183	1.582	36.8
5	2	56	57	7.225	0.268	37.4
10	2	4107	5379	7.347	7.814	37.4
4	2	22	22	8.348	0.048	37.4
3	2	10	10	8.355	0.020	37.4
14	1	8255	138190	14.651	224.854	95.0
6	2	126	131	13.062	1.126	37.4
11	2	9918	13993	15.186	44.795	48.3
5	3	57	57	27.088	0.280	38.4
7	3	334	335	30.583	1.998	38.4
4	3	22	22	23.994	0.088	38.4
3	3	10	10	24.009	0.033	38.4
8	3	819	825	52.002	7.262	55.4
5	4	57	57	23.138	0.318	56.7
6	3	131	131	44.494	1.432	56.7
4	4	22	22	21.973	0.090	56.7
3	4	10	10	21.965	0.027	56.7
10	3	5379	5560	50.628	20.387	56.7
15	1	16511	333623	60.164	950.769	184.2
12	2	23778	36226	57.452	253.004	455.5
9	3	2113	2152	57.089	13.964	114.3
11	3	13993	14772	46.443	70.331	62.9
5	5	57	57	74.734	0.422	56.7
3	5	10	10	83.808	0.026	56.7
4	5	22	22	83.853	0.069	56.7
7	4	335	335	106.617	5.120	56.7
6	4	131	131	103.043	1.775	56.7
5	6	57	57	95.971	0.267	56.7
3	6	10	10	90.945	0.024	56.7
4	6	22	22	90.989	0.061	56.7
8	4	825	825	179.396	12.137	56.7
10	4	5560	5567	183.560	28.089	165.2
11	4	14772	14824	177.063	77.118	58.7
5	7	57	57	14.066	0.401	57.4
6	5	131	131	81.858	1.846	57.4
3	7	10	10	10.018	0.022	57.4
4	7	22	22	9.955	0.067	57.4
9	4	2152	2153	180.875	14.989	59.6
7	5	335	335	106.053	10.543	58.0
12	3	36226	39212	190.383	328.692	481.2
5	8	57	57	9.803	0.294	58.0
3	8	10	10	12.854	0.019	58.0
4	8	22	22	12.844	0.046	58.0
6	6	131	131	58.156	1.676	60.3
5	9	57	57	52.797	0.259	60.9
13	2	57408	94599	305.629	1106.297	481.2
3	9	10	10	57.424	0.032	60.9
4	9	22	22	57.418	0.089	60.9
8	5	825	825	78.151	9.991	60.9
11	5	14824	14824	71.663	70.056	60.9
10	5	5567	5567	73.036	25.966	159.2
5	10	57	57	22.597	0.284	60.9
9	5	2153	2153	84.544	15.855	60.9
3	10	10	10	54.292	0.020	60.9
6	7	131	131	67.074	1.405	60.9
4	10	22	22	54.905	0.051	60.9
7	6	335	335	126.933	9.610	60.9
5	11	57	57	73.710	0.258	60.9
12	4	39212	39484	153.288	356.932	448.7
3	11	10	10	40.993	0.025	60.9
4	11	22	22	40.937	0.045	60.9
6	8	131	131	47.829	1.499	60.9
5	12	57	57	14.481	0.276	60.9
8	6	825	825	102.756	12.278	60.9
10	6	5567	5567	102.001	27.274	77.9
11	6	14824	14824	103.591	86.420	376.3
3	12	10	10	10.449	0.021	60.9
4	12	22	22	10.236	0.057	60.9
9	6	2153	2153	91.496	13.665	67.8
5	13	57	57	6.505	0.286	67.8
7	7	335	335	46.755	8.805	67.8
3	13	10	10	4.573	0.023	67.8
4	13	22	22	4.292	0.070	67.8
6	9	131	131	7.826	1.776	67.8
14	2	138190	246587	411.194	5195.162	514.0
5	14	57	57	3.470	0.282	67.8
13	3	94599	105446	115.530	1674.295	547.3
3	14	10	10	2.746	0.024	67.8
