# cost_profile maxn=28 cores=32
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
9	0	1	271	0.006	0.001	11.8
8	0	1	135	0.006	0.001	12.0
10	0	1	527	0.008	0.001	11.8
6	0	1	35	0.007	0.000	12.0
12	0	1	2079	0.012	0.006	12.0
11	0	1	1055	0.011	0.004	12.0
7	0	1	71	0.009	0.002	12.0
4	0	1	9	0.006	0.000	12.4
3	0	1	5	0.010	0.000	12.6
5	0	1	19	0.019	0.001	12.6
13	0	1	4159	0.028	0.012	12.7
14	0	1	8255	0.287	0.021	13.0
7	1	71	307	0.843	0.008	13.0
8	1	135	715	0.856	0.025	13.0
15	0	1	16511	0.872	0.044	13.0
9	1	271	1729	0.879	0.109	13.0
10	1	527	4107	0.905	0.580	13.0
11	1	1055	9918	1.987	2.182	15.7
3	1	5	10	1.986	0.008	13.0
5	1	19	56	2.006	0.038	13.0
4	1	9	22	2.050	0.014	13.0
6	1	35	126	6.978	0.163	13.5
12	1	2079	23778	7.425	9.818	26.7
7	2	307	334	7.698	0.046	14.1
8	2	715	819	7.727	0.182	14.1
9	2	1729	2113	9.234	1.438	14.4
3	2	10	10	12.316	0.012	14.9
4	2	22	22	12.379	0.043	14.9
13	1	4159	57408	14.956	43.451	48.9
10	2	4107	5379	16.437	6.096	23.5
5	2	56	57	17.751	0.187	20.8
3	3	10	10	17.726	0.019	24.1
4	3	22	22	18.090	0.058	24.5
14	1	8255	138190	44.143	180.860	178.7
6	2	126	131	39.638	0.741	27.0
11	2	9918	13993	46.192	34.265	389.8
3	4	10	10	18.642	0.027	27.0
5	3	57	57	31.381	0.296	27.0
4	4	22	22	18.879	0.069	27.0
7	3	334	335	43.378	1.207	27.0
8	3	819	825	43.784	1.596	27.0
9	3	2113	2152	73.984	6.932	91.3
15	1	16511	333623	91.189	714.161	212.1
12	2	23778	36226	86.356	194.684	443.7
3	5	10	10	50.081	0.029	27.0
4	5	22	22	49.716	0.063	27.0
10	3	5379	5560	84.760	13.119	268.8
5	4	57	57	197.352	0.322	27.0
13	2	57408	94599	310.257	909.882	467.8
3	6	10	10	225.942	0.060	27.0
4	6	22	22	226.089	0.062	27.0
6	3	131	131	382.560	1.726	27.0
7	4	335	335	403.044	1.968	27.6
8	4	825	825	403.393	2.797	27.6
9	4	2152	2153	394.630	5.338	55.4
11	3	13993	14772	432.527	88.705	534.7
3	7	10	10	193.595	0.035	27.6
5	5	57	57	272.733	0.357	27.6
4	7	22	22	194.161	0.063	27.6
14	2	138190	246587	550.877	4130.128	507.8
12	3	36226	39212	526.501	333.018	506.9
10	4	5560	5567	519.817	17.648	109.2
3	8	10	10	192.308	0.044	27.6
4	8	22	22	191.565	0.056	27.6
5	6	57	57	340.635	0.590	27.6
6	4	131	131	478.158	2.603	27.6
13	3	94599	105446	608.674	1734.921	573.3
3	9	10	10	256.949	0.040	27.6
4	9	22	22	261.139	0.123	27.6
7	5	335	335	520.749	3.013	27.6
8	5	825	825	528.329	4.854	27.6
9	5	2153	2153	564.169	5.410	37.9
11	4	14772	14825	564.973	80.887	514.9
3	10	10	10	225.959	0.034	27.7
5	7	57	57	335.662	0.430	27.7
4	10	22	22	223.763	0.071	27.7
10	5	5567	5567	586.501	14.240	87.6
12	4	39212	39496	593.550	467.436	454.4
3	11	10	10	64.831	0.019	28.4
4	11	22	22	63.488	0.120	28.4
6	5	131	131	357.279	2.158	28.4
5	8	57	57	78.480	0.425	28.4
7	6	335	335	302.270	3.681	28.4
8	6	825	825	294.429	3.273	29.2
9	6	2153	2153	238.096	5.590	36.2
3	12	10	10	22.743	0.024	29.2
11	5	14825	14826	238.153	84.421	494.0
4	12	22	22	23.183	0.097	29.2
10	6	5567	5567	80.920	15.122	55.4
3	13	10	10	6.665	0.020	29.2
5	9	57	57	13.985	0.341	29.2
4	13	22	22	5.577	0.052	29.2
6	6	131	131	28.796	1.527	29.2
3	14	10	10	3.856	0.019	29.2
4	14	22	22	3.779	0.056	29.2
7	7	335	335	15.866	1.698	29.2
8	7	825	825	15.682	2.372	29.2
9	7	2153	2153	13.266	3.461	34.2
5	10	57	57	4.556	0.265	29.2
3	15	10	10	1.160	0.020	29.2
4	15	22	22	1.107	0.046	29.2
3	16	10	10	1.079	0.011	32.3
5	11	57	57	1.325	0.229	32.3
4	16	22	22	1.245	0.045	32.3
10	7	5567	5567	6.570	11.536	52.7
14	3	246587	283878	699.747	7193.881	556.4
6	7	131	131	2.976	1.368	33.8
12	5	39496	39502	82.041	370.848	424.5
13	4	105446	106790	361.213	1716.597	561.7
3	17	10	10	2.269	0.002	33.8
11	6	14826	14826	13.435	53.241	461.7
7	8	335	335	4.156	1.476	33.8
8	8	825	825	3.938	1.921	33.8
15	2	333623	644932	1206.123	22394.234	547.1
4	17	22	22	42.346	0.052	33.8
9	8	2153	2153	47.304	4.651	33.8
5	12	57	57	47.606	0.240	33.8
3	18	10	10	310.754	0.025	33.8
4	18	22	22	405.802	0.050	33.8
3	19	10	10	373.841	0.033	33.8
5	13	57	57	639.441	0.487	33.8
10	8	5567	5567	687.294	17.262	50.8
6	8	131	131	687.510	1.755	33.8
12	6	39502	39502	801.861	529.979	399.9
4	19	22	22	358.812	0.078	33.9
7	9	335	335	843.600	1.993	33.9
8	9	825	825	844.837	2.714	33.9
11	7	14826	14826	848.392	83.751	433.2
13	5	106790	106816	860.292	1774.865	546.9
3	20	10	10	268.469	0.024	33.9
9	9	2153	2153	910.375	5.073	33.9
4	20	22	22	223.806	0.067	33.9
5	14	57	57	345.444	0.302	33.9
14	4	283878	289144	1041.470	7993.999	543.0
3	21	10	10	181.939	0.030	33.9
4	21	22	22	296.618	0.239	33.9
6	9	131	131	646.933	3.643	33.9
10	9	5567	5567	650.411	17.803	49.2
3	22	10	10	408.021	0.110	33.9
5	15	57	57	517.116	0.538	33.9
7	10	335	335	705.861	2.520	33.9
8	10	825	825	707.626	6.357	33.9
11	8	14826	14826	708.444	99.722	402.6
12	7	39502	39502	761.456	505.006	371.7
4	22	22	22	340.591	0.253	33.9
9	10	2153	2153	720.541	7.897	33.9
13	6	106816	106816	933.579	1995.061	533.2
3	23	10	10	250.846	0.081	33.9
4	23	22	22	177.117	0.108	33.9
5	16	57	57	343.743	0.764	33.9
3	24	10	10	112.008	0.037	33.9
6	10	131	131	585.120	3.147	33.9
10	10	5567	5567	583.168	21.389	39.6
4	24	22	22	85.553	0.071	33.9
7	11	335	335	384.816	2.451	33.9
8	11	825	825	382.868	4.584	33.9
11	9	14826	14824	380.873	86.954	380.4
3	25	10	10	34.521	0.041	33.9
9	11	2153	2153	267.806	6.226	33.9
5	17	57	57	51.896	0.759	33.9
12	8	39502	39495	385.204	430.962	354.7
4	25	22	13	21.191	0.056	33.9
3	26	10	5	23.131	0.015	33.9
4	26	13	6	25.446	0.027	33.9
5	18	57	57	32.792	0.363	33.9
6	11	131	131	58.156	2.258	33.9
10	11	5567	5566	58.880	20.004	46.2
14	5	289144	289191	935.856	8049.007	528.9
3	27	5	2	16.975	0.009	33.9
7	12	335	335	46.710	1.848	33.9
8	12	825	825	45.736	2.914	33.9
3	28	2	0	38.139	0.003	33.9
4	27	6	2	43.229	0.005	33.9
9	12	2153	2153	77.968	4.247	33.9
11	10	14824	14820	86.211	59.793	355.1
4	28	2	0	11.179	0.003	33.9
13	7	106816	106816	235.680	1658.529	518.2
5	19	57	57	54.037	0.263	33.9
12	9	39495	39472	131.751	338.094	342.6
6	12	131	131	105.797	1.784	33.9
10	12	5566	5566	137.729	11.757	37.6
5	20	57	57	98.469	0.244	33.9
7	13	335	335	148.703	2.071	33.9
8	13	825	825	165.083	2.753	33.9
9	13	2153	2153	155.517	3.593	33.9
15	3	644932	768826	2183.401	39360.840	682.9
11	11	14820	14815	194.128	70.542	318.1
5	21	57	57	338.198	0.366	33.9
6	13	131	131	470.428	1.902	33.9
13	8	106816	106700	525.685	1615.961	503.1
12	10	39472	39434	479.736	361.592	328.0
10	13	5566	5563	458.478	17.428	41.6
7	14	335	335	451.806	2.110	33.9
8	14	825	825	519.785	2.363	33.9
5	22	57	57	214.341	0.246	33.9
9	14	2153	2152	505.209	3.054	33.9
14	6	289191	289191	716.397	7738.973	513.2
11	12	14815	14800	684.795	63.080	296.2
5	23	57	57	454.494	0.385	33.9
6	14	131	131	583.750	1.400	33.9
10	14	5563	5560	708.177	13.198	33.9
7	15	335	335	703.573	2.137	33.9
12	11	39434	39352	736.282	311.147	313.4
13	9	106700	106497	753.409	1526.668	482.2
8	15	825	825	750.312	2.377	33.9
9	15	2152	2152	773.863	5.665	33.9
5	24	57	37	439.453	0.298	33.9
11	13	14800	14783	759.514	62.600	275.6
14	7	289191	289081	1032.453	7767.782	498.5
6	15	131	131	598.931	1.992	33.9
5	25	37	19	215.543	0.220	33.9
7	16	335	335	593.750	2.352	33.9
10	15	5560	5560	596.812	13.101	33.9
12	12	39352	39277	584.371	353.331	298.9
8	16	825	825	466.204	3.326	33.9
9	16	2152	2152	455.445	3.646	33.9
5	26	19	8	135.682	0.057	33.9
13	10	106497	106126	623.983	1629.958	460.2
11	14	14783	14771	335.459	53.812	254.8
5	27	8	3	79.984	0.030	33.9
6	16	131	131	308.918	4.172	33.9
5	28	3	0	52.568	0.007	33.9
7	17	335	335	198.227	2.371	33.9
10	16	5560	5548	198.956	12.357	33.9
8	17	825	825	207.387	2.591	33.9
12	13	39277	39183	215.107	242.689	284.0
9	17	2152	2152	206.511	4.275	33.9
11	15	14771	14707	145.593	42.330	203.1
6	17	131	131	102.066	2.170	33.9
7	18	335	335	71.719	2.071	33.9
8	18	825	825	59.030	2.303	33.9
10	17	5548	5497	70.444	6.460	33.9
9	18	2152	2137	33.490	3.112	33.9
6	18	131	131	5.790	1.447	33.9
7	19	335	335	3.587	1.661	33.9
8	19	825	822	3.496	1.790	33.9
11	16	14707	14486	7.923	15.323	100.2
10	18	5497	5327	3.629	3.564	33.9
9	19	2137	2089	2.405	1.990	33.9
6	19	131	131	1.929	1.621	33.9
7	20	335	335	2.054	1.543	33.9
8	20	822	810	2.009	1.623	33.9
10	19	5327	4394	1.734	2.425	33.9
9	20	2089	1693	1.658	1.708	33.9
11	17	14486	13914	2.328	9.163	34.0
6	20	131	131	1.295	1.407	33.9
7	21	335	331	1.186	1.391	33.9
