# cost_profile maxn=33 cores=80
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
3	0	1	5	0.023	0.000	10.4
3	1	5	10	0.025	0.000	14.4
3	2	10	10	0.027	0.000	18.5
3	3	10	10	0.027	0.000	18.5
3	4	10	10	0.027	0.000	18.5
3	5	10	10	0.029	0.000	18.5
3	6	10	10	0.028	0.000	18.5
3	7	10	10	0.026	0.000	18.5
3	8	10	10	0.028	0.000	18.5
3	9	10	10	0.026	0.000	18.5
3	10	10	10	0.026	0.000	18.5
3	11	10	10	0.027	0.000	18.5
3	12	10	10	0.025	0.000	18.5
3	13	10	10	0.027	0.000	18.5
3	14	10	10	0.027	0.000	18.6
3	15	10	10	0.028	0.000	18.6
3	16	10	10	0.027	0.000	18.6
3	17	10	10	0.028	0.000	18.6
3	18	10	10	0.025	0.000	18.6
3	19	10	10	0.025	0.000	18.6
3	20	10	10	0.027	0.000	20.7
3	21	10	10	0.026	0.000	20.7
3	22	10	10	0.027	0.000	20.7
3	23	10	10	0.027	0.000	20.7
3	24	10	10	0.026	0.000	20.7
3	25	10	10	0.027	0.000	20.7
3	26	10	10	0.026	0.000	20.7
3	27	10	10	0.025	0.000	20.7
3	28	10	10	0.024	0.000	20.7
3	29	10	10	0.025	0.000	20.7
3	30	10	10	0.026	0.000	20.7
3	31	10	5	0.026	0.000	20.7
3	32	5	2	0.025	0.000	20.7
3	33	2	0	0.022	0.000	20.7
4	0	1	9	0.030	0.000	20.7
4	1	9	22	0.032	0.000	20.7
4	2	22	22	0.031	0.000	20.7
4	3	22	22	0.032	0.000	20.7
4	4	22	22	0.032	0.000	20.7
4	5	22	22	0.032	0.000	20.7
4	6	22	22	0.032	0.001	20.7
4	7	22	22	0.032	0.001	20.7
4	8	22	22	0.032	0.000	20.7
4	9	22	22	0.033	0.001	20.7
4	10	22	22	0.032	0.001	20.7
4	11	22	22	0.033	0.002	20.7
4	12	22	22	0.032	0.001	20.7
4	13	22	22	0.032	0.001	20.7
4	14	22	22	0.033	0.000	20.7
4	15	22	22	0.032	0.000	20.7
4	16	22	22	0.034	0.001	20.7
4	17	22	22	0.034	0.000	20.7
4	18	22	22	0.034	0.001	20.7
4	19	22	22	0.033	0.000	20.7
4	20	22	22	0.033	0.000	20.7
4	21	22	22	0.032	0.000	20.7
4	22	22	22	0.032	0.000	20.7
4	23	22	22	0.032	0.000	20.7
4	24	22	22	0.032	0.000	20.7
4	25	22	22	0.032	0.000	20.7
4	26	22	22	0.030	0.000	20.7
4	27	22	22	0.031	0.000	20.7
4	28	22	22	0.030	0.000	20.7
4	29	22	22	0.030	0.000	20.7
4	30	22	13	0.031	0.000	20.7
4	31	13	6	0.030	0.000	20.7
4	32	6	2	0.029	0.000	20.7
4	33	2	0	0.029	0.000	20.7
5	0	1	19	0.036	0.000	20.7
5	1	19	56	0.036	0.000	20.7
5	2	56	57	0.040	0.003	20.7
5	3	57	57	0.039	0.005	20.7
5	4	57	57	0.041	0.008	20.7
5	5	57	57	0.042	0.009	20.7
5	6	57	57	0.044	0.011	20.7
5	7	57	57	0.045	0.011	20.7
5	8	57	57	0.043	0.011	20.7
5	9	57	57	0.044	0.011	20.7
5	10	57	57	0.044	0.011	20.7
5	11	57	57	0.045	0.011	20.7
5	12	57	57	0.044	0.011	20.7
5	13	57	57	0.042	0.011	20.7
5	14	57	57	0.044	0.010	20.7
5	15	57	57	0.043	0.010	20.7
5	16	57	57	0.042	0.009	20.7
5	17	57	57	0.043	0.009	20.7
5	18	57	57	0.041	0.010	20.7
5	19	57	57	0.043	0.009	20.7
5	20	57	57	0.041	0.010	20.7
5	21	57	57	0.040	0.008	20.7
5	22	57	57	0.040	0.007	20.7
5	23	57	57	0.040	0.006	20.7
5	24	57	57	0.040	0.003	20.7
5	25	57	57	0.038	0.003	20.7
5	26	57	57	0.039	0.004	20.7
5	27	57	57	0.040	0.003	20.7
5	28	57	57	0.039	0.002	20.7
5	29	57	37	0.038	0.000	20.7
5	30	37	19	0.037	0.001	20.7
5	31	19	8	0.037	0.000	20.7
5	32	8	3	0.036	0.000	20.7
5	33	3	0	0.033	0.000	20.7
6	0	1	35	0.041	0.000	20.7
6	1	35	126	0.045	0.004	20.7
6	2	126	131	0.050	0.011	20.7
6	3	131	131	0.054	0.016	20.7
6	4	131	131	0.058	0.018	20.7
6	5	131	131	0.063	0.022	20.7
6	6	131	131	0.067	0.026	20.7
6	7	131	131	0.066	0.028	20.7
6	8	131	131	0.065	0.027	20.7
6	9	131	131	0.066	0.026	20.7
6	10	131	131	0.064	0.025	20.7
6	11	131	131	0.064	0.022	20.7
6	12	131	131	0.061	0.022	20.7
6	13	131	131	0.060	0.020	20.7
6	14	131	131	0.060	0.020	20.7
6	15	131	131	0.060	0.019	20.7
