orchestrate maxn=40 fold=true cores=80 unit_mult=8 merge_mult=1 ram=1073741824 counter=u128 kernel=kink max_diag_k=0 run_dir=runs/ns_a40/dalby rev=38956525
event=kink_round H=4 col=0 round=seed frontier_in=1 map_wall_s=0.010 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=5 col=0 round=seed frontier_in=1 map_wall_s=0.011 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=16 col=0 round=seed frontier_in=1 map_wall_s=0.012 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=14 col=0 round=seed frontier_in=1 map_wall_s=0.016 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=11 col=0 round=seed frontier_in=1 map_wall_s=0.018 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=18 col=0 round=seed frontier_in=1 map_wall_s=0.017 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=17 col=0 round=seed frontier_in=1 map_wall_s=0.018 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=12 col=0 round=seed frontier_in=1 map_wall_s=0.020 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=9 col=0 round=seed frontier_in=1 map_wall_s=0.021 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=8 col=0 round=seed frontier_in=1 map_wall_s=0.020 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=19 col=0 round=seed frontier_in=1 map_wall_s=0.022 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=3 col=0 round=seed frontier_in=1 map_wall_s=0.023 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=13 col=0 round=seed frontier_in=1 map_wall_s=0.023 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=10 col=0 round=seed frontier_in=1 map_wall_s=0.023 map_cpu_s=0.001 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.04 merge_eff_cores=0.00
event=kink_round H=7 col=0 round=seed frontier_in=1 map_wall_s=0.023 map_cpu_s=0.001 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.04 merge_eff_cores=0.00
event=kink_round H=14 col=0 round=stage0 frontier_in=1 map_wall_s=0.007 map_cpu_s=0.001 merge_wall_s=0.002 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.14 merge_eff_cores=0.43
event=kink_round H=16 col=0 round=stage0 frontier_in=1 map_wall_s=0.011 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.27
event=kink_round H=15 col=0 round=seed frontier_in=1 map_wall_s=0.023 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=11 col=0 round=stage0 frontier_in=1 map_wall_s=0.006 map_cpu_s=0.001 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.17 merge_eff_cores=0.33
event=kink_round H=18 col=0 round=stage0 frontier_in=1 map_wall_s=0.005 map_cpu_s=0.000 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.33
event=kink_round H=17 col=0 round=stage0 frontier_in=1 map_wall_s=0.004 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.28
event=kink_round H=6 col=0 round=seed frontier_in=1 map_wall_s=0.024 map_cpu_s=0.000 merge_wall_s=0.000 merge_cpu_s=0.000 map_units=1 merge_ranges=0 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=8 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.36
event=kink_round H=4 col=0 round=stage0 frontier_in=1 map_wall_s=0.015 map_cpu_s=0.001 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.07 merge_eff_cores=0.30
event=kink_round H=3 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.002 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.34 merge_eff_cores=0.00
event=kink_round H=5 col=0 round=stage0 frontier_in=1 map_wall_s=0.015 map_cpu_s=0.001 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.07 merge_eff_cores=0.36
event=kink_round H=12 col=0 round=stage0 frontier_in=1 map_wall_s=0.004 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.29
event=kink_round H=9 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.003 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.36
event=kink_round H=19 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.27
event=kink_round H=10 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.003 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.38 merge_eff_cores=0.00
event=kink_round H=13 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.33 merge_eff_cores=0.28
event=kink_round H=7 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.26
event=kink_round H=4 col=0 round=stage1 frontier_in=2 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.024 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=16 col=0 round=stage1 frontier_in=2 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.028 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.04
event=kink_round H=8 col=0 round=stage1 frontier_in=2 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.027 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.04
event=kink_round H=14 col=0 round=stage1 frontier_in=2 map_wall_s=0.004 map_cpu_s=0.001 merge_wall_s=0.028 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.26 merge_eff_cores=0.04
event=kink_round H=15 col=0 round=stage0 frontier_in=1 map_wall_s=0.003 map_cpu_s=0.000 merge_wall_s=0.029 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.03
event=kink_round H=18 col=0 round=stage1 frontier_in=2 map_wall_s=0.004 map_cpu_s=0.001 merge_wall_s=0.028 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.26 merge_eff_cores=0.00
