# cost_profile maxn=40 cores=48
# H	col	frontier_in	frontier_out	wall_s	cpu_s	rss_max_mb
20	0	1	524799	0.709	12.207	31.1
20	1	524799	27308254	35.641	1258.082	163.2
20	2	27308254	79076635	484.514	19137.298	840.8
20	3	79076635	114616902	1866.013	67083.741	959.4
20	4	114616902	127191908	2748.823	93811.774	1076.6
20	5	127191908	128930885	3048.743	100999.093	1114.2
20	6	128930885	128930885	3109.136	102486.236	1120.2
20	7	128930885	128930261	3015.696	100085.881	1120.2
20	8	128930261	128921806	2994.614	98099.754	1120.2
20	9	128921806	128779243	2910.724	94899.428	1120.2
20	10	128779243	128133691	2757.403	90422.989	1120.2
20	11	128133691	126951877	2630.871	86027.497	1120.2
20	12	126951877	125377480	2451.149	80723.960	1120.2
20	13	125377480	123336324	2249.275	75107.775	1120.2
20	14	123336324	120825665	2106.767	70479.543	1120.2
20	15	120825665	117756998	1890.702	64764.253	1120.2
20	16	117756998	113932363	1704.727	59453.205	1120.2
20	17	113932363	109038768	1523.415	53761.066	1120.2
20	18	109038768	102356490	1385.525	48655.651	1120.2
20	19	102356490	93223201	1225.315	43238.982	1120.2
20	20	93223201	81002176	1053.780	37853.007	1120.2
20	21	81002176	63974702	856.507	31567.028	1120.2
20	22	63974702	39312368	563.822	18635.698	1120.2
20	23	39312368	19955123	414.453	13629.654	1120.2
20	24	19955123	9114014	275.230	9010.710	1120.2
20	25	9114014	3953784	175.763	5483.986	1120.2
20	26	3953784	1689134	109.255	3219.218	1120.2
20	27	1689134	721885	64.910	1827.462	1120.2
20	28	721885	312632	39.076	1026.633	1120.2
20	29	312632	136835	22.479	580.177	1120.2
20	30	136835	59743	12.281	318.757	1120.2
20	31	59743	25356	7.467	174.928	1120.2
20	32	25356	10315	5.243	104.586	1120.2
20	33	10315	4046	3.710	65.109	1120.2
20	34	4046	1556	2.323	30.298	1120.2
20	35	1556	597	0.825	9.325	1120.2
20	36	597	223	0.240	1.531	1120.2
20	37	223	85	0.174	0.382	1120.2
20	38	85	30	0.093	0.074	1120.2
20	39	30	10	0.046	0.041	1076.6
20	40	10	0	0.041	0.037	1116.7
