# Phase 02: PEAK distinct boundary-SIGNATURE count + peak frontier WIDTH per term.
# col = height-bounded (incumbent, base must reproduce ~2.42); diag = width-bounded (B-BS 45).
  n           a(n) |  col_states  ratio  colW | diag_states  ratio  diaW
  1              1 |           0  0.000     0 |           0  0.000     0
  2              4 |           1  0.000     1 |           2  0.000     1
  3             20 |           3  3.000     2 |           3  1.500     2
  4            110 |           8  2.667     3 |           4  1.333     3
  5            638 |          21  2.625     4 |           9  2.250     4
  6           3832 |          54  2.571     5 |          19  2.111     5
  7          23592 |         137  2.537     6 |          39  2.053     6
  8         147941 |         344  2.511     7 |          81  2.077     7
  9         940982 |         858  2.494     8 |         168  2.074     8
 10        6053180 |        2129  2.481     9 |         345  2.054     9
 11       39299408 |        5260  2.471    10 |         706  2.046    10
 12      257105146 |       12947  2.461    11 |        1443  2.044    11
